datetime_UTC,longitude,latitude,water_level,quality_water_level
2018-05-21T00:53:51.000000,-53.080671,47.642747,0.399,1
2018-05-21T00:53:52.000000,-53.104371,47.700564,0.398,1
2018-12-07T00:53:30.000000,-52.967556,47.696638,0.405,1
2018-12-07T00:53:31.000000,-52.991326,47.754634,0.394,0
2018-12-07T00:53:32.000000,-53.01514,47.812627,0.354,1
2019-01-03T00:53:32.000000,-52.973445,47.686231,0.381,1
2019-01-03T00:53:33.000000,-52.997223,47.744218,0.38,0
2019-01-03T00:53:34.000000,-53.021045,47.802201,0.397,1
2019-01-30T00:53:33.000000,-52.969666,47.686315,0.137,1
2019-01-30T00:53:34.000000,-52.993431,47.744299,0.099,0
2019-01-30T00:53:35.000000,-53.01724,47.802278,0.081,1
2019-02-26T00:53:35.000000,-52.976188,47.682141,0.378,1
2019-02-26T00:53:36.000000,-52.999967,47.740128,0.364,0
2019-02-26T00:53:37.000000,-53.023789,47.798112,0.369,1
2019-03-25T00:53:39.000000,-52.981126,47.705772,0.716,1
2019-03-25T00:53:40.000000,-53.004913,47.763767,0.706,0
2019-03-25T00:53:41.000000,-53.028743,47.821758,0.751,1
2019-04-21T00:53:40.000000,-52.989641,47.732474,0.462,0
2019-04-21T00:53:41.000000,-53.013438,47.790467,0.491,1
2019-05-18T00:53:37.000000,-52.979511,47.717679,0.069,0
2019-05-18T00:53:38.000000,-53.00329,47.775666,0.046,0
2019-05-18T00:53:39.000000,-53.027112,47.833648,0.067,1
2019-06-14T00:53:32.000000,-52.966105,47.696253,-0.15,1
2019-06-14T00:53:33.000000,-52.989865,47.754242,-0.149,0
2019-06-14T00:53:34.000000,-53.013668,47.812226,-0.19,1
2019-07-11T00:53:34.000000,-52.976184,47.682923,-0.079,1
2019-07-11T00:53:35.000000,-52.999958,47.740916,-0.131,0
2019-07-11T00:53:36.000000,-53.023775,47.798905,-0.105,1
2019-08-07T00:53:35.000000,-52.972361,47.693777,0.304,1
2019-09-03T00:53:34.000000,-52.967503,47.702956,0.395,1
2019-09-03T00:53:35.000000,-52.99128,47.760947,0.37,0
2019-09-03T00:53:36.000000,-53.0151,47.818933,0.375,1
2019-09-30T00:53:33.000000,-52.975433,47.715302,0.736,1
2019-09-30T00:53:34.000000,-52.999211,47.773287,0.737,0
2019-09-30T00:53:35.000000,-53.023032,47.831268,0.741,1
2019-10-27T00:53:32.000000,-52.987515,47.705607,0.211,1
2019-10-27T00:53:33.000000,-53.011317,47.763591,0.212,0
2019-10-27T00:53:34.000000,-53.035161,47.821572,0.205,1
2019-11-23T00:53:35.000000,-52.975349,47.682961,0.019,1
2019-11-23T00:53:36.000000,-52.999127,47.740955,-0.036,0
2019-11-23T00:53:37.000000,-53.022948,47.798944,-0.022,1
2019-12-20T00:53:35.000000,-52.976006,47.706165,0.138,1
2019-12-20T00:53:36.000000,-52.999791,47.764157,0.142,0
2019-12-20T00:53:37.000000,-53.02362,47.822146,0.165,1
2020-01-16T00:53:33.000000,-52.958108,47.670457,0.394,1
2020-01-16T00:53:34.000000,-52.981854,47.728446,0.3,0
2020-01-16T00:53:35.000000,-53.005643,47.786432,0.327,0
2020-02-12T00:53:32.000000,-52.981028,47.699929,0.552,1
2020-03-10T00:53:35.000000,-52.969943,47.677251,0.447,1
2020-03-10T00:53:36.000000,-52.993706,47.735243,0.412,0
2020-03-10T00:53:37.000000,-53.017513,47.793231,0.401,1
2020-04-06T00:53:36.000000,-52.98335,47.70933,-0.094,1
2020-04-06T00:53:37.000000,-53.007129,47.767326,-0.083,0
2020-04-06T00:53:38.000000,-53.030952,47.825317,-0.026,1
2020-05-03T00:53:40.000000,-52.984319,47.69458,-0.103,1
2020-05-03T00:53:41.000000,-53.008107,47.75257,-0.15,0
2020-05-03T00:53:42.000000,-53.031938,47.810555,-0.121,1
2020-05-30T00:53:42.000000,-52.969927,47.686322,0.24,1
2020-05-30T00:53:43.000000,-52.9937,47.744308,0.196,0
2020-05-30T00:53:44.000000,-53.017517,47.80229,0.214,1
2020-06-26T00:53:46.000000,-52.983358,47.715641,0.574,0
2020-06-26T00:53:47.000000,-53.00715,47.773627,0.557,0
2020-06-26T00:53:48.000000,-53.030987,47.831609,0.573,1
2020-07-23T00:53:46.000000,-52.966605,47.689571,0.735,1
2020-07-23T00:53:47.000000,-52.990379,47.747566,0.705,0
2020-07-23T00:53:48.000000,-53.014196,47.805557,0.712,1
2020-08-19T00:53:46.000000,-52.96295,47.684322,0.407,1
2020-08-19T00:53:47.000000,-52.986716,47.742318,0.359,0
2020-08-19T00:53:48.000000,-53.010527,47.80031,0.366,1
2020-09-15T00:53:44.000000,-52.957197,47.6728,0.012,1
2020-09-15T00:53:45.000000,-52.980946,47.730791,-0.026,0
2020-09-15T00:53:46.000000,-53.004739,47.788778,-0.048,0
2020-09-15T00:53:47.000000,-53.028576,47.846762,-0.0,1
2020-10-12T00:53:42.000000,-52.982214,47.689684,-0.082,1
2020-10-12T00:53:43.000000,-53.006004,47.747666,-0.096,0
2020-10-12T00:53:44.000000,-53.029837,47.805645,-0.04,1
2020-11-08T00:53:47.000000,-52.981443,47.691002,0.447,1
2020-11-08T00:53:48.000000,-53.005225,47.74899,0.401,0
2020-11-08T00:53:49.000000,-53.02905,47.806974,0.45,1
2020-12-05T00:53:47.000000,-52.968759,47.683027,0.206,1
2020-12-05T00:53:48.000000,-52.992529,47.741022,0.158,0
2020-12-05T00:53:49.000000,-53.016342,47.799013,0.16,1
2021-01-01T00:53:47.000000,-52.982417,47.721321,0.073,0
2021-01-01T00:53:48.000000,-53.006208,47.779312,0.103,0
2021-01-01T00:53:49.000000,-53.030041,47.837298,0.103,1
2021-01-28T00:53:43.000000,-52.962027,47.678384,0.276,1
2021-01-28T00:53:44.000000,-52.985775,47.736373,0.255,0
2021-01-28T00:53:45.000000,-53.009566,47.794358,0.273,1
2021-02-24T00:53:45.000000,-52.978267,47.694557,0.207,1
2021-02-24T00:53:46.000000,-53.002048,47.752541,0.194,0
2021-02-24T00:53:47.000000,-53.025873,47.810522,0.197,1
2021-03-23T00:53:46.000000,-52.974843,47.696111,0.091,1
2021-03-23T00:53:47.000000,-52.998614,47.754104,0.054,0
2021-03-23T00:53:48.000000,-53.022428,47.812093,0.047,1
2021-04-19T00:53:45.000000,-52.991899,47.70674,0.419,1
2021-04-19T00:53:46.000000,-53.015701,47.764732,0.444,0
2021-04-19T00:53:47.000000,-53.039547,47.822719,0.428,1
2021-05-16T00:53:48.000000,-52.970473,47.683596,0.573,1
2021-05-16T00:53:49.000000,-52.994249,47.741585,0.54,0
2021-05-16T00:53:50.000000,-53.018068,47.799571,0.523,1
2021-05-16T00:53:51.000000,-53.041932,47.857552,0.607,1
2021-06-12T00:53:54.000000,-52.992091,47.724463,0.555,0
2021-06-12T00:53:55.000000,-53.015894,47.782446,0.598,0
2021-06-12T00:53:56.000000,-53.039741,47.840425,0.588,1
2021-07-09T00:53:55.000000,-52.963279,47.663822,0.234,1
2021-07-09T00:53:56.000000,-52.987037,47.721813,0.177,0
2021-07-09T00:53:57.000000,-53.010839,47.7798,0.164,0
2021-08-05T00:53:57.000000,-52.977222,47.707172,0.056,1
2021-08-05T00:53:58.000000,-53.001012,47.765166,0.025,0
2021-08-05T00:53:59.000000,-53.024845,47.823156,0.046,1
2021-09-01T00:53:57.000000,-52.969207,47.692393,0.2,1
2021-09-01T00:53:58.000000,-52.992977,47.750387,0.19,0
2021-09-01T00:53:59.000000,-53.016791,47.808378,0.182,1
2021-09-28T00:53:54.000000,-52.974021,47.721498,0.328,0
2021-09-28T00:53:55.000000,-52.997802,47.779485,0.314,0
2021-09-28T00:53:56.000000,-53.021626,47.837469,0.352,1
2021-10-25T00:53:51.000000,-52.991491,47.720289,0.598,0
2021-10-25T00:53:52.000000,-53.015297,47.778271,0.595,0
2021-10-25T00:53:53.000000,-53.039148,47.836249,0.648,1
2021-11-21T00:53:53.000000,-52.97832,47.699891,0.426,1
2021-11-21T00:53:54.000000,-53.002107,47.757881,0.397,0
2021-11-21T00:53:55.000000,-53.025937,47.815866,0.407,1
2021-12-18T00:53:54.000000,-52.983779,47.71528,0.181,0
2021-12-18T00:53:55.000000,-53.007572,47.773272,0.178,0
2021-12-18T00:53:56.000000,-53.031409,47.831261,0.194,1
2022-01-14T00:53:51.000000,-52.974091,47.709726,0.051,1
2022-01-14T00:53:52.000000,-52.99787,47.767716,0.046,0
2022-01-14T00:53:53.000000,-53.021693,47.825703,0.054,1
2022-02-10T00:53:50.000000,-52.979731,47.693616,0.224,1
2022-02-10T00:53:51.000000,-53.003516,47.751599,0.214,0
2022-02-10T00:53:52.000000,-53.027345,47.809578,0.236,1
2022-03-09T00:53:52.000000,-52.976041,47.706022,0.592,1
2022-03-09T00:53:53.000000,-52.999822,47.764009,0.577,0
2022-03-09T00:53:54.000000,-53.023647,47.821991,0.608,1
2022-04-05T00:53:51.000000,-52.963896,47.683381,0.804,1
2022-04-05T00:53:52.000000,-52.98765,47.741377,0.773,0
2022-04-05T00:53:53.000000,-53.011448,47.79937,0.749,1
2022-05-02T00:53:57.000000,-52.996191,47.73328,0.539,0
2022-05-02T00:53:58.000000,-53.020008,47.791269,0.558,1
2022-05-29T00:54:01.000000,-52.986907,47.711791,0.122,1
2022-05-29T00:54:02.000000,-53.010704,47.769777,0.081,0
2022-05-29T00:54:03.000000,-53.034543,47.827759,0.074,1
2022-06-25T00:54:03.000000,-52.970457,47.678705,-0.218,1
2022-06-25T00:54:04.000000,-52.994226,47.736691,-0.25,0
2022-06-25T00:54:05.000000,-53.018038,47.794674,-0.239,1
2022-07-22T00:54:07.000000,-52.99294,47.727924,0.029,0
2022-08-18T00:54:06.000000,-52.975485,47.706164,0.212,1
2022-08-18T00:54:07.000000,-52.999267,47.764159,0.181,0
2022-08-18T00:54:08.000000,-53.023093,47.822151,0.229,1
2022-09-14T00:54:04.000000,-52.959977,47.673221,0.821,1
2022-09-14T00:54:05.000000,-52.983726,47.731216,0.812,0
2022-09-14T00:54:06.000000,-53.007519,47.789207,0.78,0
2022-09-14T00:54:07.000000,-53.031355,47.847194,0.811,1
2022-10-11T00:54:02.000000,-52.989357,47.704912,0.497,1
2022-10-11T00:54:03.000000,-53.013156,47.762894,0.469,0
2022-10-11T00:54:04.000000,-53.036999,47.820872,0.487,1
2022-11-07T00:54:06.000000,-52.975615,47.666722,0.001,1
2022-11-07T00:54:07.000000,-52.99938,47.724709,-0.042,0
2022-11-07T00:54:08.000000,-53.023187,47.782691,-0.036,1
2022-12-04T00:54:06.000000,-52.971494,47.675237,-0.362,1
2022-12-04T00:54:07.000000,-52.995259,47.73323,-0.391,0
2022-12-04T00:54:08.000000,-53.019067,47.79122,-0.396,1
2022-12-31T00:54:04.000000,-52.962325,47.668476,-0.125,1
2022-12-31T00:54:05.000000,-52.986077,47.726472,-0.156,0
2022-12-31T00:54:06.000000,-53.009871,47.784465,-0.149,0
2022-12-31T00:54:07.000000,-53.033709,47.842454,-0.163,1
